pregunta,rta_1,rta_2,rta_3,rta_4,rta_correcta
¿Cuál de estos discos NO es de Taylor Swift?,Red,The Game,Reputation,1989,2
¿Cuál de estos discos NO es de Adele?,21,Abbey Road,19,25,2
¿Cuál de estos discos NO es de Queen?,The Game,1989,A Night at the Opera,Jazz,2
¿Cuál de estos discos NO es de The Beatles?,X&Y,Revolver,Let It Be,Abbey Road,1
¿Cuál de estos discos NO es de Dua Lipa?,Radical Optimism,Dua Lipa,Future Nostalgia,Abbey Road,4
¿Cuál de estos discos NO es de Drake?,Views,Scorpion,Certified Lover Boy,21,4
¿Cuál de estos discos NO es de BTS?,BE,Map of the Soul: 7,Wings,Let It Be,4
¿Cuál de estos discos NO es de Coldplay?,Jazz,Parachutes,A Rush of Blood to the Head,X&Y,1
¿Cuál de estos discos NO es de Lady Gaga?,Joanne,The Fame,Parachutes,Born This Way,3
¿Cuál de estos discos NO es de Kanye West?,Graduation,Yeezus,The Life of Pablo,Viva la Vida,4
¿Quién es el/la artista del disco 'Graduation'?,Coldplay,BTS,Dua Lipa,Kanye West,4
¿Quién es el/la artista del disco 'Revolver'?,Adele,Lady Gaga,The Beatles,Taylor Swift,3
¿Quién es el/la artista del disco '1989'?,Drake,Kanye West,Taylor Swift,The Beatles,3
¿Quién es el/la artista del disco 'Jazz'?,Drake,Queen,Dua Lipa,The Beatles,2
¿Quién es el/la artista del disco 'BE'?,Dua Lipa,Lady Gaga,Adele,BTS,4
¿Quién es el/la artista del disco 'Viva la Vida'?,Coldplay,Kanye West,BTS,Queen,1
¿Quién es el/la artista del disco 'Rubber Soul'?,The Beatles,Coldplay,Kanye West,Dua Lipa,1
¿Quién es el/la artista del disco 'Map of the Soul: 7'?,Lady Gaga,Adele,BTS,The Beatles,3
¿Quién es el/la artista del disco 'A Night at the Opera'?,Queen,Lady Gaga,Drake,Dua Lipa,1
¿Quién es el/la artista del disco 'Abbey Road'?,Kanye West,The Beatles,Coldplay,Dua Lipa,2
¿Quién es el/la artista del disco 'Scorpion'?,Queen,Adele,Dua Lipa,Drake,4
¿Quién es el/la artista del disco 'Views'?,The Beatles,Taylor Swift,Lady Gaga,Drake,4
¿Quién es el/la artista del disco '30'?,Dua Lipa,Adele,Queen,Lady Gaga,2
¿Quién es el/la artista del disco 'News of the World'?,Taylor Swift,Adele,Queen,Lady Gaga,3
¿Quién es el/la artista del disco 'Donda'?,Kanye West,Queen,Drake,The Beatles,1
¿Quién es el/la artista del disco 'Wings'?,Dua Lipa,Coldplay,Drake,BTS,4
¿Quién es el/la artista del disco 'The Game'?,Queen,Lady Gaga,Adele,Taylor Swift,1
¿Quién es el/la artista del disco 'Club Future Nostalgia'?,Lady Gaga,BTS,Dua Lipa,Coldplay,3
¿Quién es el/la artista del disco '19'?,BTS,Adele,Coldplay,Lady Gaga,2
¿Quién es el/la artista del disco 'Born This Way'?,Coldplay,The Beatles,BTS,Lady Gaga,4
¿Quién es el/la artista del disco 'Red'?,Dua Lipa,Taylor Swift,Coldplay,Drake,2
¿Quién es el/la artista del disco '25'?,Dua Lipa,The Beatles,BTS,Adele,4
¿Quién es el/la artista del disco 'Joanne'?,Kanye West,Coldplay,Lady Gaga,The Beatles,3
